chr	pos_start	pos_end	compartment	compartment_score
chr2	1.0	200000.0	B	0.25
chr2	200001.0	320000.0	B	0.375
chr2	320001.0	640000.0	B	0.125
chr2	640001.0	760000.0	B	0.5
chr2	760001.0	960000.0	B	0.25
chr2	960001.0	1120000.0	B	0.25
chr2	1120001.0	1600000.0	B	0.25
chr2	1600001.0	1760000.0	A	1.0
chr2	1760001.0	2480000.0	B	0.25
chr2	2480001.0	2920000.0	B	0.25
chr2	2920001.0	3160000.0	B	0.25
chr2	3160001.0	3360000.0	B	0.375
chr2	3360001.0	3640000.0	A	0.875
chr2	3640001.0	3880000.0	B	0.5
chr2	3880001.0	5000000.0	B	0.125
chr2	5000001.0	5040000.0	B	0.25
chr2	5120001.0	5480000.0	B	0.25
chr2	5480001.0	5560000.0	B	0.25
chr2	5560001.0	5760000.0	B	0.25
chr2	5760001.0	6040000.0	B	0.5
chr2	6040001.0	6480000.0	B	0.25
chr2	6480001.0	6800000.0	B	0.375
chr2	6800001.0	7000000.0	B	0.25
chr2	7000001.0	7200000.0	B	0.25
chr2	7200001.0	7520000.0	B	0.25
chr2	7520001.0	7800000.0	B	0.25
chr2	7800001.0	8200000.0	B	0.25
chr2	8200001.0	8360000.0	A	0.625
chr2	8360001.0	8680000.0	B	0.5
chr2	8680001.0	8920000.0	A	0.75
chr2	8920001.0	9280000.0	A	1.0
chr2	9280001.0	9600000.0	A	1.0
chr2	9600001.0	9880000.0	A	1.0
chr2	9880001.0	10280000.0	A	1.0
chr2	10280001.0	10600000.0	A	1.0
chr2	10600001.0	10840000.0	A	1.0
chr2	10840001.0	11240000.0	A	1.0
chr2	11240001.0	11600000.0	A	1.0
chr2	11600001.0	11800000.0	A	0.75
chr2	11800001.0	11960000.0	A	0.875
chr2	11960001.0	12160000.0	A	0.625
chr2	12160001.0	12320000.0	A	0.75
chr2	12320001.0	12560000.0	A	0.75
chr2	12560001.0	12680000.0	A	0.75
chr2	12680001.0	12920000.0	A	0.75
chr2	12920001.0	13160000.0	A	0.75
chr2	13160001.0	13680000.0	B	0.125
chr2	13680001.0	13840000.0	B	0.25
chr2	13840001.0	14000000.0	B	0.25
chr2	14000001.0	14240000.0	B	0.25
chr2	14240001.0	14600000.0	B	0.25
chr2	14600001.0	14720000.0	B	0.5
chr2	14720001.0	15160000.0	B	0.25
chr2	15160001.0	15280000.0	B	0.375
chr2	15280001.0	15760000.0	A	0.625
chr2	15760001.0	16280000.0	B	0.25
chr2	16320001.0	16360000.0	B	0.25
chr2	16360001.0	16760000.0	B	0.125
chr2	16760001.0	17280000.0	B	0.25
chr2	17280001.0	17680000.0	B	0.25
chr2	17680001.0	17880000.0	B	0.375
chr2	17880001.0	18120000.0	B	0.5
chr2	18120001.0	18280000.0	B	0.25
chr2	18280001.0	18560000.0	B	0.5
chr2	18560001.0	18760000.0	A	0.75
chr2	18760001.0	18880000.0	A	0.625
chr2	18880001.0	19080000.0	A	0.75
chr2	19080001.0	19240000.0	A	0.875
chr2	19240001.0	19600000.0	A	0.875
chr2	19600001.0	19880000.0	A	0.625
chr2	19880001.0	20120000.0	A	0.875
chr2	20120001.0	20320000.0	A	1.0
chr2	20320001.0	20560000.0	A	1.0
chr2	20560001.0	20840000.0	A	1.0
chr2	20840001.0	21040000.0	B	0.5
chr2	21040001.0	21240000.0	B	0.25
chr2	21240001.0	21600000.0	B	0.25
chr2	21600001.0	21720000.0	B	0.5
chr2	21720001.0	21960000.0	B	0.375
chr2	21960001.0	22080000.0	B	0.5
chr2	22080001.0	22600000.0	B	0.25
chr2	22600001.0	23400000.0	B	0.125
chr2	23400001.0	23600000.0	B	0.375
chr2	23600001.0	24000000.0	A	0.875
chr2	24000001.0	24320000.0	A	1.0
chr2	24320001.0	24600000.0	A	0.875
chr2	24600001.0	25080000.0	A	0.875
chr2	25080001.0	25440000.0	A	0.875
chr2	25440001.0	25800000.0	A	0.875
chr2	25800001.0	26080000.0	A	0.875
chr2	26080001.0	26400000.0	A	1.0
chr2	26400001.0	26600000.0	A	0.875
chr2	26600001.0	26960000.0	A	0.625
chr2	26960001.0	27240000.0	A	0.75
chr2	27240001.0	27560000.0	A	1.0
chr2	27560001.0	27880000.0	A	1.0
chr2	27880001.0	28160000.0	A	1.0
chr2	28160001.0	28680000.0	A	1.0
chr2	28680001.0	29040000.0	A	1.0
chr2	29040001.0	29160000.0	A	0.875
chr2	29160001.0	29440000.0	A	0.875
chr2	29440001.0	29640000.0	B	0.375
chr2	29640001.0	29840000.0	B	0.5
chr2	29840001.0	30120000.0	B	0.25
chr2	30120001.0	30360000.0	B	0.375
chr2	30360001.0	30720000.0	A	0.875
chr2	30720001.0	30960000.0	A	0.75
chr2	30960001.0	31440000.0	B	0.25
chr2	31440001.0	31640000.0	B	0.5
chr2	31640001.0	32080000.0	B	0.25
chr2	32080001.0	32520000.0	A	0.875
chr2	32520001.0	32920000.0	A	1.0
chr2	32920001.0	33040000.0	A	0.875
chr2	33040001.0	33160000.0	A	0.875
chr2	33160001.0	33840000.0	A	1.0
chr2	33840001.0	34240000.0	B	0.25
chr2	34240001.0	34400000.0	B	0.25
chr2	34400001.0	34840000.0	B	0.25
chr2	34840001.0	35560000.0	B	0.125
chr2	35560001.0	35720000.0	B	0.25
chr2	35720001.0	35880000.0	B	0.25
chr2	35880001.0	36080000.0	B	0.25
chr2	36080001.0	36240000.0	B	0.25
chr2	36240001.0	36560000.0	B	0.25
chr2	36560001.0	36840000.0	A	1.0
chr2	36840001.0	37080000.0	A	0.625
chr2	37080001.0	37320000.0	A	0.875
chr2	37320001.0	37560000.0	A	1.0
chr2	37560001.0	38120000.0	A	1.0
chr2	38120001.0	38480000.0	A	0.875
chr2	38480001.0	38560000.0	A	0.75
chr2	38560001.0	38760000.0	A	0.875
chr2	38760001.0	39000000.0	A	1.0
chr2	39000001.0	39520000.0	A	1.0
chr2	39520001.0	39760000.0	A	1.0
chr2	39760001.0	40000000.0	A	1.0
chr2	40000001.0	40360000.0	A	0.875
chr2	40360001.0	40520000.0	A	0.75
chr2	40520001.0	40680000.0	A	0.875
chr2	40680001.0	41040000.0	B	0.5
